ccr,rpm
2000,0.000000
2100,0.000000
2200,0.000000
2300,0.000000
2400,0.000000
2500,0.000000
2600,18.180000
2700,24.240000
2800,36.360000
2900,42.420000
3000,48.480000
3100,60.610000
3200,66.670000
3300,78.790000
3400,90.910000
3500,103.030000
3600,115.150000
3700,127.270000
3800,139.390000
3900,151.520000
4000,163.640000
4100,175.760000
4200,181.820000
4300,193.940000
4400,206.060000
4500,212.120000
4600,224.240000
4700,230.300000
4800,236.360000
4900,236.360000
5000,242.420000
5100,242.420000
5200,242.420000
5300,236.360000
5400,242.420000
5500,242.420000
5600,242.420000
5700,242.420000
5800,242.420000
5900,236.360000
6000,236.360000
6100,242.420000
6200,242.420000
6300,242.420000
6400,242.420000
6500,242.420000
6600,236.360000
6700,242.420000
6800,242.420000
6900,242.420000
7000,242.420000
7100,242.420000
7200,242.420000
7300,236.360000
7400,242.420000
7500,242.420000
7600,242.420000
7700,242.420000
7800,236.360000
7900,242.420000
