ccr,rpm
2000,0.000000
2100,0.000000
2200,0.000000
2300,0.000000
2400,0.000000
2500,0.000000
2600,0.000000
2700,22.730000
2800,30.300000
2900,37.880000
3000,46.970000
3100,56.820000
3200,66.670000
3300,77.270000
3400,88.640000
3500,99.240000
3600,109.850000
3700,121.210000
3800,132.580000
3900,143.940000
4000,156.060000
4100,168.180000
4200,178.790000
4300,189.390000
4400,200.760000
4500,209.850000
4600,218.180000
4700,225.000000
4800,231.060000
4900,234.850000
5000,237.880000
5100,237.120000
5200,238.640000
5300,237.880000
5400,238.640000
5500,238.640000
5600,237.880000
5700,237.880000
5800,237.880000
5900,237.880000
6000,238.640000
6100,239.390000
6200,239.390000
6300,239.390000
6400,238.640000
6500,238.640000
6600,238.640000
6700,238.640000
6800,238.640000
6900,238.640000
7000,238.640000
7100,239.390000
7200,239.390000
7300,239.390000
7400,239.390000
7500,239.390000
7600,239.390000
7700,239.390000
7800,239.390000
7900,239.390000
